no,state,capital
1,Andhra Pradesh,Hyderabad
2,Arunachal Pradesh,Itanagar
3,Assam,Dispur
4,Bihar,Patna
5,Chhattisgarh,Raipur
6,Goa,Panaji
7,Gujarat,Gandhinagar
8,Haryana,Chandigarh
9,Himachal Pradesh,Shimla
10,Jharkhand,Ranchi
11,Karnataka,Bengaluru
12,Kerala,Thiruvananthapuram
13,Madhya Pradesh,Bhopal
14,Maharashtra,Mumbai
15,Manipur,Imphal
16,Meghalaya,Shillong
17,Mizoram,Aizawl
18,Nagaland,Kohima
19,Odisha,Bhubaneswar
20,Punjab,Chandigarh
21,Rajasthan,Jaipur
22,Sikkim,Gangtok
23,Tamil Nadu,Chennai
24,Telangana,Hyderabad
25,Tripura,Agartala
26,Uttar Pradesh,Lucknow
27,Uttarakhand,Dehradun
28,West Bengal,Kolkata
